SID,科目コード,評点
001199,00020211140027,81
000527,00020211140027,82
000077,00020211140027,82
000492,00020211140027,77
001166,00020211140027,78
000420,00020211140027,76
000179,00020211140027,80
001440,00020211140027,76
000403,00020211140027,80
000555,00020211140027,87
000549,00020211140027,91
001282,00020211140027,71
001128,00020211140027,84
001323,00020211140027,75
001188,00020211140027,77
000219,00020211140027,87
001000,00020211140027,84
000176,00020211140027,68
000722,00020211140027,78
000225,00020211140027,78
001309,00020211140027,66
000290,00020211140027,80
000771,00020211140027,77
000914,00020211140027,87
001117,00020211140027,83
000100,00020211140027,82
001422,00020211140027,83
000391,00020211140027,86
000318,00020211140027,73
000575,00020211140027,75
000089,00020211140027,70
000388,00020211140027,82
000141,00020211140027,71
000895,00020211140027,84
000014,00020211140027,80
001236,00020211140027,81
000032,00020211140027,85
001301,00020211140027,77
000369,00020211140027,85
000096,00020211140027,80
000609,00020211140027,84
000121,00020211140027,94
001338,00020211140027,80
000484,00020211140027,77
001209,00020211140027,78
001339,00020211140027,77
001079,00020211140027,73
000918,00020211140027,83
000532,00020211140027,77
000683,00020211140027,73
001081,00020211140027,80
001163,00020211140027,88
000737,00020211140027,78
001269,00020211140027,80
001260,00020211140027,88
000906,00020211140027,77
000653,00020211140027,81
000682,00020211140027,63
000330,00020211140027,80
000052,00020211140027,74
000327,00020211140027,83
001044,00020211140027,76
001314,00020211140027,75
000754,00020211140027,71
001405,00020211140027,69
001413,00020211140027,88
000255,00020211140027,89
000524,00020211140027,76
001316,00020211140027,66
001084,00020211140027,81
000278,00020211140027,81
000240,00020211140027,82
000781,00020211140027,82
000765,00020211140027,73
000177,00020211140027,79
001243,00020211140027,75
001257,00020211140027,75
000969,00020211140027,80
000266,00020211140027,78
000129,00020211140027,83
000724,00020211140027,69
000839,00020211140027,85
001150,00020211140027,81
001175,00020211140027,80
000782,00020211140027,78
000987,00020211140027,72
001062,00020211140027,92
000648,00020211140027,84
000948,00020211140027,76
000449,00020211140027,83
000503,00020211140027,65
001060,00020211140027,74
000746,00020211140027,86
000436,00020211140027,85
001030,00020211140027,74
001295,00020211140027,89
000243,00020211140027,80
000992,00020211140027,85
000827,00020211140027,86
001359,00020211140027,62
000254,00020195140013,83
000056,00020195140013,75
000377,00020195140013,78
000930,00020195140013,79
000753,00020195140013,73
001181,00020195140013,64
000779,00020195140013,73
001031,00020195140013,82
000310,00020195140013,80
000054,00020195140013,75
001138,00020195140013,84
000065,00020195140013,69
000892,00020195140013,85
000493,00020195140013,71
000437,00020195140013,71
000034,00020195140013,79
001343,00020195140013,77
000955,00020195140013,82
000873,00020195140013,79
001223,00020195140013,77
000696,00020195140013,70
000961,00020195140013,83
000741,00020195140013,75
000253,00020195140013,80
000920,00020195140013,80
000452,00020195140013,81
000551,00020195140013,87
000778,00020195140013,78
001374,00020195140013,82
000178,00020195140013,82
000727,00020195140013,75
000603,00020195140013,72
000333,00020195140013,87
001094,00020195140013,82
001285,00020195140013,71
000546,00020195140013,70
001444,00020195140013,79
000411,00020195140013,90
001014,00020195140013,85
000580,00020195140013,79
000513,00020195140013,74
001140,00020195140013,79
001067,00020195140013,71
000152,00020195140013,78
000307,00020195140013,72
001199,00020195140013,83
000527,00020195140013,79
000077,00020195140013,82
000492,00020195140013,80
001166,00020195140013,82
000420,00020195140013,78
000179,00020195140013,77
001440,00020195140013,79
000403,00020195140013,81
000555,00020195140013,75
000549,00020195140013,92
001282,00020195140013,71
001128,00020195140013,87
001323,00020195140013,72
001188,00020195140013,78
000219,00020195140013,88
001000,00020195140013,87
000176,00020195140013,81
000722,00020195140013,79
000225,00020195140013,79
001309,00020195140013,67
000290,00020195140013,80
000771,00020195140013,74
000914,00020195140013,84
001117,00020195140013,86
000100,00020195140013,74
001422,00020195140013,79
000391,00020195140013,87
000318,00020195140013,88
000575,00020195140013,74
000089,00020195140013,71
000388,00020195140013,73
000141,00020195140013,78
000895,00020195140013,74
000014,00020195140013,82
001236,00020195140013,85
000032,00020195140013,86
001301,00020195140013,80
000369,00020195140013,85
000096,00020195140013,80
000609,00020195140013,78
000121,00020195140013,87
001338,00020195140013,80
000484,00020195140013,81
001209,00020195140013,77
001339,00020195140013,79
001079,00020195140013,81
000918,00020195140013,88
000532,00020195140013,77
000683,00020195140013,74
001081,00020195140013,77
001163,00020195140013,79
000737,00020195140013,82
001269,00020195140013,81
001260,00020195140013,85
000906,00020195140013,66
000653,00020195140013,76
000682,00020195140013,65
000330,00020195140013,80
000052,00020195140013,87
000327,00020195140013,79
001044,00020195140013,77
001314,00020195140013,75
000754,00020195140013,74
001405,00020195140013,69
001413,00020195140013,87
000255,00020195140013,92
000524,00020195140013,75
001316,00020195140013,72
001084,00020195140013,81
000278,00020195140013,75
000240,00020195140013,80
000781,00020195140013,79
000765,00020195140013,70
000177,00020195140013,81
001243,00020195140013,80
001257,00020195140013,68
000969,00020195140013,76
000266,00020195140013,80
000129,00020195140013,81
000724,00020195140013,73
000839,00020195140013,88
001150,00020195140013,80
001175,00020195140013,78
000782,00020195140013,75
000987,00020195140013,77
001062,00020195140013,89
000648,00020195140013,84
000948,00020195140013,64
000449,00020195140013,79
000503,00020195140013,67
001060,00020195140013,73
000746,00020195140013,88
000436,00020195140013,82
001030,00020195140013,74
001295,00020195140013,88
000243,00020195140013,79
000992,00020195140013,82
000827,00020195140013,91
001359,00020195140013,57
000254,00020191140086,79
000056,00020191140086,81
000377,00020191140086,79
000930,00020191140086,74
000753,00020191140086,82
001181,00020191140086,68
000779,00020191140086,73
001031,00020191140086,77
000310,00020191140086,79
000054,00020191140086,76
001138,00020191140086,83
000065,00020191140086,84
000892,00020191140086,80
000493,00020191140086,76
000437,00020191140086,83
000034,00020191140086,84
001343,00020191140086,78
000955,00020191140086,77
000873,00020191140086,73
001223,00020191140086,75
000696,00020191140086,75
000961,00020191140086,83
000741,00020191140086,73
000253,00020191140086,80
000920,00020191140086,79
000452,00020191140086,82
000551,00020191140086,88
000778,00020191140086,76
001374,00020191140086,81
000178,00020191140086,85
000727,00020191140086,76
000603,00020191140086,77
000333,00020191140086,81
001094,00020191140086,84
001285,00020191140086,63
000546,00020191140086,70
001444,00020191140086,80
000411,00020191140086,94
001014,00020191140086,76
000580,00020191140086,78
000513,00020191140086,72
001140,00020191140086,77
001067,00020191140086,67
000152,00020191140086,75
000307,00020191140086,68
001199,00020191140086,84
000527,00020191140086,82
000077,00020191140086,79
000492,00020191140086,78
001166,00020191140086,79
000420,00020191140086,77
000179,00020191140086,76
001440,00020191140086,78
000403,00020191140086,84
000555,00020191140086,83
000549,00020191140086,80
001282,00020191140086,67
001128,00020191140086,81
001323,00020191140086,72
001188,00020191140086,79
000219,00020191140086,92
001000,00020191140086,87
000176,00020191140086,75
000722,00020191140086,75
000225,00020191140086,75
001309,00020191140086,69
000290,00020191140086,84
000771,00020191140086,74
000914,00020191140086,85
001117,00020191140086,83
000100,00020191140086,76
001422,00020191140086,83
000391,00020191140086,80
000318,00020191140086,79
000575,00020191140086,74
000089,00020191140086,67
000388,00020191140086,80
000141,00020191140086,72
000895,00020191140086,79
000014,00020191140086,78
001236,00020191140086,78
000032,00020191140086,85
001301,00020191140086,76
000369,00020191140086,84
000096,00020191140086,78
000609,00020191140086,78
000121,00020191140086,85
001338,00020191140086,88
000484,00020191140086,78
001209,00020191140086,80
001339,00020191140086,83
001079,00020191140086,70
000918,00020191140086,84
000532,00020191140086,67
000683,00020191140086,77
001081,00020191140086,84
001163,00020191140086,92
000737,00020191140086,82
001269,00020191140086,84
001260,00020191140086,92
000906,00020191140086,71
000653,00020191140086,71
000682,00020191140086,64
000330,00020191140086,78
000052,00020191140086,84
000327,00020191140086,83
001044,00020191140086,74
001314,00020191140086,76
000754,00020191140086,70
001405,00020191140086,71
001413,00020191140086,85
000255,00020191140086,91
000524,00020191140086,85
001316,00020191140086,75
001084,00020191140086,80
000278,00020191140086,78
000240,00020191140086,77
000781,00020191140086,76
000765,00020191140086,80
000177,00020191140086,75
001243,00020191140086,80
001257,00020191140086,75
000969,00020191140086,78
000266,00020191140086,75
000129,00020191140086,78
000724,00020191140086,74
000839,00020191140086,86
001150,00020191140086,79
001175,00020191140086,86
000782,00020191140086,74
000987,00020191140086,70
001062,00020191140086,91
000648,00020191140086,84
000948,00020191140086,80
000449,00020191140086,81
000503,00020191140086,68
001060,00020191140086,80
000746,00020191140086,87
000436,00020191140086,82
001030,00020191140086,73
001295,00020191140086,91
000243,00020191140086,75
000992,00020191140086,83
000827,00020191140086,88
001359,00020191140086,69
000254,00020151140051,82
000056,00020151140051,75
000377,00020151140051,87
000930,00020151140051,67
000753,00020151140051,93
001181,00020151140051,66
000779,00020151140051,71
001031,00020151140051,84
000310,00020151140051,86
000054,00020151140051,73
001138,00020151140051,83
000065,00020151140051,69
000892,00020151140051,80
000493,00020151140051,77
000437,00020151140051,68
000034,00020151140051,83
001343,00020151140051,84
000955,00020151140051,83
000873,00020151140051,75
001223,00020151140051,80
000696,00020151140051,76
000961,00020151140051,74
000741,00020151140051,75
000253,00020151140051,78
000920,00020151140051,85
000452,00020151140051,79
000551,00020151140051,88
000778,00020151140051,76
001374,00020151140051,80
000178,00020151140051,84
000727,00020151140051,79
000603,00020151140051,70
000333,00020151140051,82
001094,00020151140051,82
001285,00020151140051,76
000546,00020151140051,74
001444,00020151140051,82
000411,00020151140051,91
001014,00020151140051,81
000580,00020151140051,78
000513,00020151140051,71
001140,00020151140051,79
001067,00020151140051,74
000152,00020151140051,75
000307,00020151140051,67
001199,00020151140051,73
000527,00020151140051,86
000077,00020151140051,81
000492,00020151140051,79
001166,00020151140051,82
000420,00020151140051,81
000179,00020151140051,77
001440,00020151140051,81
000403,00020151140051,79
000555,00020151140051,81
000549,00020151140051,83
001282,00020151140051,65
001128,00020151140051,83
001323,00020151140051,67
001188,00020151140051,77
000219,00020151140051,87
001000,00020151140051,85
000176,00020151140051,66
000722,00020151140051,79
000225,00020151140051,85
001309,00020151140051,66
000290,00020151140051,88
000771,00020151140051,74
000914,00020151140051,83
001117,00020151140051,86
000100,00020151140051,80
001422,00020151140051,78
000391,00020151140051,92
000318,00020151140051,77
000575,00020151140051,74
000089,00020151140051,75
000388,00020151140051,74
000141,00020151140051,73
000895,00020151140051,68
000014,00020151140051,79
001236,00020151140051,79
000032,00020151140051,87
001301,00020151140051,72
000369,00020151140051,82
000096,00020151140051,79
000609,00020151140051,75
000121,00020151140051,90
001338,00020151140051,82
000484,00020151140051,67
001209,00020151140051,81
001339,00020151140051,80
001079,00020151140051,83
000918,00020151140051,83
000532,00020151140051,80
000683,00020151140051,72
001081,00020151140051,71
001163,00020151140051,88
000737,00020151140051,75
001269,00020151140051,80
001260,00020151140051,87
000906,00020151140051,74
000653,00020151140051,76
000682,00020151140051,71
000330,00020151140051,82
000052,00020151140051,80
000327,00020151140051,83
001044,00020151140051,74
001314,00020151140051,76
000754,00020151140051,72
001405,00020151140051,73
001413,00020151140051,85
000255,00020151140051,96
000524,00020151140051,69
001316,00020151140051,78
001084,00020151140051,72
000278,00020151140051,78
000240,00020151140051,83
000781,00020151140051,80
000765,00020151140051,72
000177,00020151140051,85
001243,00020151140051,82
001257,00020151140051,73
000969,00020151140051,80
000266,00020151140051,86
000129,00020151140051,82
000724,00020151140051,73
000839,00020151140051,88
001150,00020151140051,79
001175,00020151140051,74
000782,00020151140051,79
000987,00020151140051,77
001062,00020151140051,85
000648,00020151140051,84
000948,00020151140051,79
000449,00020151140051,88
000503,00020151140051,67
001060,00020151140051,73
000746,00020151140051,83
000436,00020151140051,86
001030,00020151140051,79
001295,00020151140051,89
000243,00020151140051,79
000992,00020151140051,85
000827,00020151140051,88
001359,00020151140051,57
000254,00020201140043,89
000056,00020201140043,80
000377,00020201140043,79
000930,00020201140043,74
000753,00020201140043,86
001181,00020201140043,67
000779,00020201140043,73
001031,00020201140043,79
000310,00020201140043,86
000054,00020201140043,73
001138,00020201140043,81
000065,00020201140043,70
000892,00020201140043,77
000493,00020201140043,81
000437,00020201140043,71
000034,00020201140043,79
001343,00020201140043,81
000955,00020201140043,80
000873,00020201140043,70
001223,00020201140043,78
000696,00020201140043,75
000961,00020201140043,81
000741,00020201140043,79
000253,00020201140043,81
000920,00020201140043,77
000452,00020201140043,77
000551,00020201140043,91
000778,00020201140043,76
001374,00020201140043,88
000178,00020201140043,76
000727,00020201140043,81
000603,00020201140043,75
000333,00020201140043,84
001094,00020201140043,84
001285,00020201140043,70
000546,00020201140043,71
001444,00020201140043,86
000411,00020201140043,85
001014,00020201140043,83
000580,00020201140043,80
000513,00020201140043,79
001140,00020201140043,78
001067,00020201140043,68
000152,00020201140043,80
000307,00020201140043,65
001199,00020201140043,82
000527,00020201140043,81
000077,00020201140043,82
000492,00020201140043,79
001166,00020201140043,81
000420,00020201140043,77
000179,00020201140043,79
001440,00020201140043,77
000403,00020201140043,75
000555,00020201140043,86
000549,00020201140043,83
001282,00020201140043,68
001128,00020201140043,88
001323,00020201140043,71
001188,00020201140043,86
000219,00020201140043,89
001000,00020201140043,88
000176,00020201140043,75
000722,00020201140043,90
000225,00020201140043,76
001309,00020201140043,73
000290,00020201140043,84
000771,00020201140043,72
000914,00020201140043,88
001117,00020201140043,84
000100,00020201140043,77
001422,00020201140043,89
000391,00020201140043,86
000318,00020201140043,83
000575,00020201140043,76
000089,00020201140043,73
000388,00020201140043,73
000141,00020201140043,65
000895,00020201140043,70
000014,00020201140043,80
001236,00020201140043,87
000032,00020201140043,90
001301,00020201140043,75
000369,00020201140043,81
000096,00020201140043,81
000609,00020201140043,85
000121,00020201140043,87
001338,00020201140043,85
000484,00020201140043,73
001209,00020201140043,76
001339,00020201140043,82
001079,00020201140043,84
000918,00020201140043,80
000532,00020201140043,75
000683,00020201140043,73
001081,00020201140043,80
001163,00020201140043,79
000737,00020201140043,84
001269,00020201140043,79
001260,00020201140043,87
000906,00020201140043,77
000653,00020201140043,72
000682,00020201140043,67
000330,00020201140043,76
000052,00020201140043,84
000327,00020201140043,82
001044,00020201140043,79
001314,00020201140043,77
000754,00020201140043,76
001405,00020201140043,70
001413,00020201140043,87
000255,00020201140043,86
000524,00020201140043,84
001316,00020201140043,74
001084,00020201140043,78
000278,00020201140043,74
000240,00020201140043,77
000781,00020201140043,80
000765,00020201140043,77
000177,00020201140043,79
001243,00020201140043,82
001257,00020201140043,69
000969,00020201140043,76
000266,00020201140043,76
000129,00020201140043,80
000724,00020201140043,71
000839,00020201140043,85
001150,00020201140043,82
001175,00020201140043,80
000782,00020201140043,81
000987,00020201140043,77
001062,00020201140043,85
000648,00020201140043,80
000948,00020201140043,75
000449,00020201140043,77
000503,00020201140043,70
001060,00020201140043,77
000746,00020201140043,84
000436,00020201140043,79
001030,00020201140043,75
001295,00020201140043,89
000243,00020201140043,77
000992,00020201140043,82
000827,00020201140043,84
001359,00020201140043,56
000254,00020211234293,60
000056,00020211234293,75
000377,00020211234293,80
000930,00020211234293,71
000753,00020211234293,79
001181,00020211234293,68
000779,00020211234293,74
001031,00020211234293,80
000310,00020211234293,79
000054,00020211234293,72
001138,00020211234293,85
000065,00020211234293,77
000892,00020211234293,79
000493,00020211234293,74
000437,00020211234293,73
000034,00020211234293,86
001343,00020211234293,78
000955,00020211234293,76
000873,00020211234293,79
001223,00020211234293,67
000696,00020211234293,77
000961,00020211234293,86
000741,00020211234293,76
000253,00020211234293,78
000920,00020211234293,82
000452,00020211234293,78
000551,00020211234293,87
000778,00020211234293,78
001374,00020211234293,88
000178,00020211234293,77
000727,00020211234293,79
000603,00020211234293,67
000333,00020211234293,84
001094,00020211234293,88
001285,00020211234293,66
000546,00020211234293,68
001444,00020211234293,78
000411,00020211234293,90
001014,00020211234293,74
000580,00020211234293,83
000513,00020211234293,72
001140,00020211234293,79
001067,00020211234293,74
000152,00020211234293,79
000307,00020211234293,71
001199,00020211234293,80
000527,00020211234293,83
000077,00020211234293,83
000492,00020211234293,79
001166,00020211234293,82
000420,00020211234293,78
000179,00020211234293,83
001440,00020211234293,72
000403,00020211234293,84
000555,00020211234293,85
000549,00020211234293,88
001282,00020211234293,65
001128,00020211234293,90
001323,00020211234293,74
001188,00020211234293,83
000219,00020211234293,91
001000,00020211234293,85
000176,00020211234293,79
000722,00020211234293,87
000225,00020211234293,79
001309,00020211234293,66
000290,00020211234293,82
000771,00020211234293,77
000914,00020211234293,86
001117,00020211234293,81
000100,00020211234293,79
001422,00020211234293,76
000391,00020211234293,88
000318,00020211234293,75
000575,00020211234293,84
000089,00020211234293,71
000388,00020211234293,80
000141,00020211234293,75
000895,00020211234293,66
000014,00020211234293,79
001236,00020211234293,79
000032,00020211234293,84
001301,00020211234293,74
000369,00020211234293,83
000096,00020211234293,81
000609,00020211234293,77
000121,00020211234293,92
001338,00020211234293,82
000484,00020211234293,74
001209,00020211234293,82
001339,00020211234293,79
001079,00020211234293,72
000918,00020211234293,78
000532,00020211234293,78
000683,00020211234293,72
001081,00020211234293,74
001163,00020211234293,87
000737,00020211234293,77
001269,00020211234293,74
001260,00020211234293,93
000906,00020211234293,75
000653,00020211234293,69
000682,00020211234293,69
000330,00020211234293,77
000052,00020211234293,84
000327,00020211234293,85
001044,00020211234293,75
001314,00020211234293,69
000754,00020211234293,68
001405,00020211234293,72
001413,00020211234293,78
000255,00020211234293,93
000524,00020211234293,76
001316,00020211234293,80
001084,00020211234293,83
000278,00020211234293,78
000240,00020211234293,81
000781,00020211234293,81
000765,00020211234293,77
000177,00020211234293,90
001243,00020211234293,78
001257,00020211234293,69
000969,00020211234293,77
000266,00020211234293,77
000129,00020211234293,79
000724,00020211234293,70
000839,00020211234293,90
001150,00020211234293,77
001175,00020211234293,81
000782,00020211234293,75
000987,00020211234293,75
001062,00020211234293,85
000648,00020211234293,85
000948,00020211234293,67
000449,00020211234293,77
000503,00020211234293,63
001060,00020211234293,83
000746,00020211234293,85
000436,00020211234293,77
001030,00020211234293,83
001295,00020211234293,88
000243,00020211234293,76
000992,00020211234293,86
000827,00020211234293,83
001359,00020211234293,50
000254,00020215140030,76
000056,00020215140030,80
000377,00020215140030,79
000930,00020215140030,75
000753,00020215140030,84
001181,00020215140030,70
000779,00020215140030,69
001031,00020215140030,84
000310,00020215140030,82
000054,00020215140030,69
001138,00020215140030,82
000065,00020215140030,75
000892,00020215140030,83
000493,00020215140030,79
000437,00020215140030,68
000034,00020215140030,88
001343,00020215140030,77
000955,00020215140030,77
000873,00020215140030,71
001223,00020215140030,76
000696,00020215140030,80
000961,00020215140030,81
000741,00020215140030,77
000253,00020215140030,85
000920,00020215140030,83
000452,00020215140030,83
000551,00020215140030,88
000778,00020215140030,77
001374,00020215140030,86
000178,00020215140030,85
000727,00020215140030,75
000603,00020215140030,73
000333,00020215140030,87
001094,00020215140030,77
001285,00020215140030,68
000546,00020215140030,66
001444,00020215140030,83
000411,00020215140030,94
001014,00020215140030,79
000580,00020215140030,89
000513,00020215140030,75
001140,00020215140030,80
001067,00020215140030,68
000152,00020215140030,94
000307,00020215140030,70
001199,00020215140030,85
000527,00020215140030,81
000077,00020215140030,82
000492,00020215140030,79
001166,00020215140030,79
000420,00020215140030,76
000179,00020215140030,79
001440,00020215140030,75
000403,00020215140030,82
000555,00020215140030,91
000549,00020215140030,79
001282,00020215140030,71
001128,00020215140030,83
001323,00020215140030,75
001188,00020215140030,70
000219,00020215140030,90
001000,00020215140030,87
000176,00020215140030,78
000722,00020215140030,81
000225,00020215140030,75
001309,00020215140030,67
000290,00020215140030,87
000771,00020215140030,76
000914,00020215140030,88
001117,00020215140030,85
000100,00020215140030,81
001422,00020215140030,81
000391,00020215140030,86
000318,00020215140030,75
000575,00020215140030,74
000089,00020215140030,72
000388,00020215140030,68
000141,00020215140030,68
000895,00020215140030,76
000014,00020215140030,81
001236,00020215140030,84
000032,00020215140030,82
001301,00020215140030,78
000369,00020215140030,88
000096,00020215140030,77
000609,00020215140030,71
000121,00020215140030,95
001338,00020215140030,84
000484,00020215140030,72
001209,00020215140030,76
001339,00020215140030,81
001079,00020215140030,80
000918,00020215140030,82
000532,00020215140030,76
000683,00020215140030,70
001081,00020215140030,81
001163,00020215140030,87
000737,00020215140030,78
001269,00020215140030,83
001260,00020215140030,88
000906,00020215140030,72
000653,00020215140030,70
000682,00020215140030,62
000330,00020215140030,78
000052,00020215140030,82
000327,00020215140030,89
001044,00020215140030,75
001314,00020215140030,79
000754,00020215140030,74
001405,00020215140030,74
