SID,科目コード,評点,主担当
001100,00020185910013,86,0266
001094,00020185910013,72,0266
000150,00020185910013,77,0266
000491,00020185910013,87,0266
001170,00020185910013,86,0266
000129,00020185910013,80,0266
000144,00020185910013,88,0266
001047,00020185910013,87,0266
000789,00020185910013,83,0266
001448,00020185910013,87,0266
000717,00020185910013,83,0266
000587,00020185910013,74,0266
000537,00020185910013,75,0266
000077,00020185910013,70,0266
001040,00020185910013,84,0266
001410,00020185910013,81,0266
000713,00020185910013,70,0266
000053,00020185910013,84,0266
000772,00020185910013,73,0266
000466,00020185910013,87,0266
000207,00020185910013,81,0266
001329,00020185910013,77,0266
001102,00020185910013,78,0266
000024,00020185910013,72,0266
000346,00020185910013,75,0266
000175,00020185910013,74,0266
000671,00020185910013,76,0266
000119,00020185910013,83,0266
000696,00020185910013,85,0266
000770,00020185910013,71,0266
000963,00020185910013,73,0266
001395,00020185910013,77,0266
000840,00020185910013,76,0266
000797,00020185910013,69,0266
000257,00020185910013,95,0266
001180,00020185910013,82,0266
000281,00020185910013,70,0266
001265,00020185910013,72,0266
000583,00020185910013,72,0266
001282,00020185910013,87,0266
000855,00020185910013,72,0266
000986,00020185910013,86,0266
000577,00020185910013,80,0266
001411,00020185910013,77,0266
000476,00020185910013,83,0266
001117,00020185910013,80,0266
000479,00020185910013,70,0266
001396,00020185910013,81,0266
000780,00020185910013,79,0266
000350,00020185910013,79,0266
001179,00020185910013,77,0266
000635,00020185910013,79,0266
000594,00020185910013,88,0266
000848,00020185910013,82,0266
000730,00020185910013,71,0266
001166,00020185910013,81,0266
001216,00020185910013,86,0266
000157,00020185910013,76,0266
000785,00020185910013,82,0266
000106,00020185910013,80,0266
000719,00020185910013,75,0266
000016,00020185910013,84,0266
001249,00020185910013,81,0266
001188,00020185910013,78,0266
000277,00020185910013,78,0266
000276,00020185910013,80,0266
000836,00020185910013,75,0266
000927,00020185910013,69,0266
000215,00020185910013,71,0266
001111,00020185910013,80,0266
000296,00020185910013,83,0266
000471,00020185910013,83,0266
000548,00020185910013,85,0266
000906,00020185910013,86,0266
000723,00020185910013,66,0266
000517,00020185910013,72,0266
000783,00020185910013,74,0266
001270,00020185910013,84,0266
000522,00020185910013,84,0266
000253,00020185910013,88,0266
000826,00020185910013,79,0266
001232,00020185910013,73,0266
000521,00020185910013,64,0266
000566,00020185910013,85,0266
000059,00020185910013,78,0266
000109,00020185910013,77,0266
001450,00020185910013,83,0266
001131,00020185910013,74,0266
000575,00020185910013,77,0266
000997,00020185910013,81,0266
000312,00020185910013,73,0266
001324,00020185910013,80,0266
000191,00020185910013,76,0266
001114,00020185910013,74,0266
001195,00020185910013,66,0266
000941,00020185910013,78,0266
001300,00020185910013,89,0266
000799,00020185910013,74,0266
000731,00020185910013,72,0266
000574,00020185910013,93,0266
000156,00020185910013,76,0266
000999,00020185910013,64,0266
000926,00020185910013,68,0266
000948,00020185910013,70,0266
000442,00020185910013,75,0266
001192,00020185910013,86,0266
000126,00020185910013,86,0266
001184,00020185910013,70,0266
001134,00020185910013,80,0266
000949,00020185910013,78,0266
000838,00020185910013,80,0266
001364,00020185910013,96,0266
000340,00020185910013,80,0266
000239,00020185910013,85,0266
000090,00020185910013,76,0266
000686,00020185910013,78,0266
001221,00020185910013,71,0266
000329,00020185910013,87,0266
000965,00020185910013,80,0266
001441,00020185910013,76,0266
001109,00020185910013,78,0266
000148,00020185910013,76,0266
000459,00020185910013,89,0266
000873,00020185910013,73,0266
001427,00020185910013,76,0266
001349,00020185910013,78,0266
001377,00020185910013,81,0266
000348,00020185910013,81,0266
000815,00020185910013,82,0266
000547,00020185910013,86,0266
000343,00020185910013,87,0266
000930,00020185910013,72,0266
000197,00020185910013,78,0266
000992,00020185910013,70,0266
001296,00020185910013,81,0266
000824,00020185910013,73,0266
000377,00020185910013,82,0266
000632,00020185910013,74,0266
000493,00020185910013,82,0266
000263,00020185910013,71,0266
000356,00020185910013,78,0266
000457,00020185910013,84,0266
001229,00020185910013,77,0266
000448,00020185910013,70,0266
000358,00020185910013,78,0266
001421,00020185910013,73,0266
000087,00020185910013,81,0266
001308,00020185910013,76,0266
001403,00020185910013,75,0266
000874,00020185910013,76,0266
000847,00020185910013,80,0266
001220,00020185910013,83,0266
000320,00020185910013,76,0266
001290,00020185910013,87,0266
000535,00020185910013,85,0266
000850,00020185910013,75,0266
000619,00020185910013,82,0266
001004,00020185910013,71,0266
001252,00020185910013,70,0266
000505,00020185910013,79,0266
000216,00020185910013,92,0266
001202,00020185910013,75,0266
000324,00020185910013,78,0266
001156,00020185910013,85,0266
001128,00020185910013,69,0266
000368,00020185910013,74,0266
000994,00020185910013,67,0266
000384,00020185910013,85,0266
001273,00020185910013,79,0266
000398,00020185910013,65,0266
000289,00020185910013,75,0266
000093,00020185910013,78,0266
000187,00020185910013,79,0266
000314,00020185910013,73,0266
001293,00020185910013,84,0266
001346,00020185910013,66,0266
000512,00020185910013,72,0266
000674,00020185910013,84,0266
001242,00020185910013,79,0266
001107,00020185910013,80,0266
001174,00020185910013,80,0266
000069,00020185910013,80,0266
001050,00020185910013,93,0266
000280,00020185910013,83,0266
000273,00020185910013,80,0266
001125,00020185910013,83,0266
000203,00020185910013,86,0266
000070,00020185910013,77,0266
000773,00020185910013,86,0266
000111,00020185910013,78,0266
000390,00020185910013,86,0266
001205,00020185910013,78,0266
001294,00020185910013,77,0266
000355,00020185910013,64,0266
001065,00020185910013,81,0266
000736,00020185910013,85,0266
000809,00020185910013,72,0266
000178,00020185910013,74,0266
000715,00020185910013,63,0266
000520,00020185910013,83,0266
001010,00020185910013,89,0266
000917,00020185910013,80,0266
000924,00020185910013,84,0266
000607,00020185910013,69,0266
000032,00020185910013,82,0266
000684,00020185910013,78,0266
000990,00020185910013,75,0266
000593,00020185910013,75,0266
000899,00020185910013,74,0266
000754,00020185910013,81,0266
000748,00020185910013,76,0266
000907,00020185910013,67,0266
000279,00020185910013,72,0266
000062,00020185910013,83,0266
001053,00020185910013,84,0266
000488,00020185910013,79,0266
001183,00020185910013,84,0266
001015,00020185910013,85,0266
000455,00020185910013,75,0266
000691,00020185910013,70,0266
000987,00020185910013,78,0266
001246,00020185910013,66,0266
001090,00020185910013,75,0266
000204,00020185910013,78,0266
000454,00020185910013,82,0266
000434,00020185910013,80,0266
001343,00020185910013,77,0266
000728,00020185910013,82,0266
000680,00020185910013,76,0266
000971,00020185910013,77,0266
001046,00020185910013,86,0266
000337,00020185910013,73,0266
000966,00020185910013,78,0266
001446,00020185910013,74,0266
001358,00020185910013,77,0266
000074,00020185910013,78,0266
001011,00020185910013,77,0266
001006,00020185910013,93,0266
001200,00020185910013,69,0266
000212,00020185910013,79,0266
001018,00020185910013,70,0266
001222,00020185910013,84,0266
001001,00020185910013,76,0266
000317,00020185910013,92,0266
000300,00020185910013,72,0266
000765,00020185910013,70,0266
001008,00020185910013,75,0266
001235,00020185910013,84,0266
000979,00020185910013,84,0266
000268,00020185910013,72,0266
000656,00020185910013,78,0266
001160,00020185910013,77,0266
000219,00020185910013,70,0266
000226,00020185910013,72,0266
000742,00020185910013,79,0266
001393,00020185910013,84,0266
001070,00020185910013,71,0266
000292,00020185910013,73,0266
000580,00020185910013,67,0266
001419,00020185910013,83,0266
001023,00020185910013,79,0266
000039,00020185910013,73,0266
001288,00020185910013,79,0266
000336,00020185910013,96,0266
001104,00020185910013,81,0266
000609,00020185910013,75,0266
000897,00020185910013,94,0266
000540,00020185910013,82,0266
000498,00020185910013,74,0266
000650,00020185910013,80,0266
000794,00020185910013,85,0266
000103,00020185910013,75,0266
000810,00020185910013,74,0266
000816,00020185910013,77,0266
000901,00020185910013,80,0266
000578,00020185910013,87,0266
001087,00020185910013,65,0266
001412,00020185910013,73,0266
001440,00020185910013,83,0266
000876,00020185910013,78,0266
000050,00020185910013,82,0266
001196,00020185910013,75,0266
001371,00020185910013,66,0266
001124,00020185910013,78,0266
000888,00020185910013,79,0266
000570,00020185910013,80,0266
001063,00020185910013,73,0266
000515,00020185910013,80,0266
001086,00020185910013,85,0266
000136,00020185910013,87,0266
000865,00020185910013,92,0266
001255,00020185910013,75,0266
001344,00020185910013,77,0266
000052,00020185910013,77,0266
000132,00020185910013,72,0266
000438,00020185910013,76,0266
001027,00020185910013,79,0266
000704,00020185910013,74,0266
000195,00020185910013,79,0266
000630,00020185910013,70,0266
000168,00020185910013,85,0266
001383,00020185910013,75,0266
001144,00020185910013,80,0266
000678,00020185910013,77,0266
001039,00020185910013,79,0266
000140,00020185910013,84,0266
000269,00020185910013,77,0266
000841,00020185910013,72,0266
001442,00020185910013,74,0266
000604,00020185910013,76,0266
000447,00020185910013,83,0266
001219,00020185910013,79,0266
000128,00020185910013,78,0266
000020,00020185910013,72,0266
001173,00020185910013,83,0266
000443,00020185910013,85,0266
000867,00020185910013,61,0266
001224,00020185910013,70,0266
000518,00020185910013,68,0266
000299,00020185910013,85,0266
000863,00020185910013,64,0266
001021,00020185910013,78,0266
001227,00020185910013,67,0266
000898,00020185910013,83,0266
000058,00020185910013,84,0266
000351,00020185910013,76,0266
001075,00020185910013,78,0266
000904,00020185910013,84,0266
000912,00020185910013,82,0266
001079,00020185910013,72,0266
000699,00020185910013,71,0266
000938,00020185910013,86,0266
000135,00020185910013,78,0266
000864,00020185910013,82,0266
001357,00020185910013,74,0266
000923,00020185910013,79,0266
000854,00020185910013,87,0266
000096,00020185910013,91,0266
000374,00020185910013,81,0266
000185,00020185910013,81,0266
000018,00020185910013,82,0266
001234,00020185910013,78,0266
000130,00020185910013,80,0266
000758,00020185910013,84,0266
001418,00020185910013,79,0266
000553,00020185910013,76,0266
000937,00020185910013,71,0266
000955,00020185910013,82,0266
000978,00020185910013,74,0266
000746,00020185910013,74,0266
000089,00020185910013,81,0266
000510,00020185910013,76,0266
000958,00020185910013,80,0266
000233,00020185910013,76,0266
000859,00020185910013,88,0266
001213,00020185910013,77,0266
000677,00020185910013,77,0266
001382,00020185910013,95,0266
000097,00020185910013,75,0266
000008,00020185910013,86,0266
001181,00020185910013,71,0266
000338,00020185910013,73,0266
000536,00020185910013,67,0266
000628,00020185910013,79,0266
001164,00020185910013,82,0266
000267,00020185910013,92,0266
000894,00020185910013,75,0266
000612,00020185910013,82,0266
001187,00020185910013,64,0266
001078,00020185910013,80,0266
000768,00020185910013,71,0266
000147,00020185910013,78,0266
000291,00020185910013,76,0266
000956,00020185910013,75,0266
000369,00020185910013,78,0266
000602,00020185910013,83,0266
000984,00020185910013,77,0266
001002,00020185910013,67,0266
001263,00020185910013,86,0266
000976,00020185910013,78,0266
000284,00020185910013,85,0266
000432,00020185910013,74,0266
001392,00020185910013,69,0266
000076,00020185910013,69,0266
000985,00020185910013,80,0266
001389,00020185910013,71,0266
000112,00020185910013,87,0266
000787,00020185910013,83,0266
000939,00020185910013,73,0266
000389,00020185910013,75,0266
001148,00020185910013,72,0266
001189,00020185910013,69,0266
001347,00020185910013,78,0266
000627,00020185910013,80,0266
001206,00020185910013,76,0266
001332,00020185910013,73,0266
000571,00020185910013,87,0266
001133,00020185910013,73,0266
000452,00020185910013,88,0266
000407,00020185910013,79,0266
001431,00020185910013,79,0266
000833,00020185910013,88,0266
000209,00020185910013,84,0266
000638,00020185910013,74,0266
000645,00020185910013,73,0266
000586,00020185910013,72,0266
000803,00020185910013,78,0266
001073,00020185910013,89,0266
000360,00020185910013,74,0266
000201,00020185910013,83,0266
000569,00020185910013,81,0266
001331,00020185910013,77,0266
000902,00020185910013,68,0266
000255,00020185910013,81,0266
001056,00020185910013,86,0266
001142,00020185910013,74,0266
000781,00020185910013,75,0266
001429,00020185910013,81,0266
000162,00020185910013,72,0266
000875,00020185910013,74,0266
000042,00020185910013,73,0266
001120,00020185910013,76,0266
000359,00020185910013,87,0266
000750,00020185910013,78,0266
000362,00020185910013,83,0266
000365,00020185910013,73,0266
001025,00020185910013,88,0266
000756,00020185910013,92,0266
001204,00020185910013,79,0266
001092,00020185910013,82,0266
000007,00020185910013,85,0266
001315,00020185910013,81,0266
000563,00020185910013,74,0266
001060,00020185910013,73,0266
000637,00020185910013,86,0266
000308,00020185910013,66,0266
000465,00020185910013,72,0266
000504,00020185910013,67,0266
000125,00020185910013,73,0266
000342,00020185910013,71,0266
001292,00020185910013,82,0266
000060,00020185910013,83,0266
001253,00020185910013,77,0266
000682,00020185910013,80,0266
001030,00020185910013,89,0266
001295,00020185910013,82,0266
001283,00020185910013,68,0266
000249,00020185910013,81,0266
001233,00020185910013,74,0266
000813,00020185910013,79,0266
001043,00020185910013,94,0266
000113,00020185910013,79,0266
000605,00020185910013,64,0266
000385,00020185910013,82,0266
000383,00020185910013,77,0266
000071,00020185910013,77,0266
000169,00020185910013,83,0266
000818,00020185910013,76,0266
001350,00020185910013,76,0266
000302,00020185910013,72,0266
000487,00020185910013,84,0266
001363,00020185910013,67,0266
000322,00020185910013,65,0266
000703,00020185910013,83,0266
000973,00020185910013,78,0266
000484,00020185910013,84,0266
001062,00020185910013,75,0266
000688,00020185910013,74,0266
000592,00020185910013,83,0266
000769,00020185910013,86,0266
001268,00020185910013,83,0266
000588,00020185910013,74,0266
000402,00020185910013,83,0266
000017,00020185910013,72,0266
000102,00020185910013,75,0266
001093,00020185910013,76,0266
000771,00020185910013,81,0266
000243,00020185910013,90,0266
000895,00020185910013,74,0266
000533,00020185910013,63,0266
000104,00020185910013,85,0266
000010,00020185910013,71,0266
000647,00020185910013,80,0266
000026,00020185910013,70,0266
001272,00020185910013,73,0266
000067,00020185910013,66,0266
000323,00020185910013,80,0266
000982,00020185910013,85,0266
000861,00020185910013,72,0266
000552,00020185910013,82,0266
000108,00020185910013,77,0266
000460,00020185910013,89,0266
000245,00020185910013,77,0266
000981,00020185910013,77,0266
000386,00020185910013,77,0266
000131,00020185910013,82,0266
000439,00020185910013,83,0266
000653,00020185910013,76,0266
000107,00020185910013,85,0266
000410,00020185910013,65,0266
000806,00020185910013,79,0266
000001,00020185910013,84,0266
000354,00020185910013,76,0266
000278,00020185910013,78,0266
000393,00020185910013,73,0266
001017,00020185910013,84,0266
001360,00020185910013,73,0266
000328,00020185910013,86,0266
001400,00020185910013,76,0266
000143,00020185910013,92,0266
000544,00020185910013,80,0266
000223,00020185910013,64,0266
000412,00020185910013,74,0266
000151,00020185910013,75,0266
001390,00020185910013,77,0266
001032,00020185910013,83,0266
000621,00020185910013,72,0266
000251,00020185910013,87,0266
000530,00020185910013,74,0266
001309,00020185910013,87,0266
000121,00020185910013,79,0266
001191,00020185910013,77,0266
000015,00020185910013,81,0266
000676,00020185910013,75,0266
001286,00020185910013,70,0266
000474,00020185910013,71,0266
000237,00020185910013,71,0266
000890,00020185910013,76,0266
001082,00020185910013,78,0266
000784,00020185910013,79,0266
000164,00020185910013,72,0266
000301,00020185910013,71,0266
000800,00020185910013,69,0266
000011,00020185910013,84,0266
000629,00020185910013,72,0266
000741,00020185910013,81,0266
001091,00020185910013,88,0266
001434,00020185910013,80,0266
000862,00020185910013,67,0266
001397,00020185910013,78,0266
000516,00020185910013,82,0266
000599,00020185910013,88,0266
001404,00020185910013,79,0266
001143,00020185910013,78,0266
001108,00020185910013,71,0266
000009,00020185910013,79,0266
001258,00020185910013,77,0266
000401,00020185910013,58,0266
000198,00020185910013,79,0266
001314,00020185910013,74,0266
000242,00020185910013,77,0266
001217,00020185910013,73,0266
000083,00020185910013,77,0266
000954,00020185910013,77,0266
000659,00020185910013,78,0266
000527,00020185910013,74,0266
000048,00020185910013,78,0266
000046,00020185910013,66,0266
001223,00020185910013,74,0266
000669,00020185910013,66,0266
000496,00020185910013,82,0266
000261,00020185910013,82,0266
000631,00020185910013,64,0266
000910,00020185910013,77,0266
000654,00020185910013,92,0266
001149,00020185910013,90,0266
000541,00020185910013,74,0266
001083,00020185910013,84,0266
000275,00020185910013,70,0266
001014,00020185910013,72,0266
000921,00020185910013,80,0266
000173,00020185910013,69,0266
000670,00020185910013,75,0266
000513,00020185910013,87,0266
001199,00020185910013,86,0266
001405,00020185910013,80,0266
000801,00020185910013,86,0266
000613,00020185910013,72,0266
000820,00020185910013,70,0266
000995,00020185910013,73,0266
000506,00020185910013,81,0266
001322,00020185910013,73,0266
001247,00020185910013,84,0266
001281,00020185910013,72,0266
000400,00020185910013,75,0266
000918,00020185910013,81,0266
000419,00020185910013,76,0266
000946,00020185910013,84,0266
001140,00020185910013,86,0266
001099,00020185910013,75,0266
000064,00020185910013,77,0266
001059,00020185910013,79,0266
000088,00020185910013,78,0266
000019,00020185910013,71,0266
000811,00020185910013,75,0266
001115,00020185910013,67,0266
000734,00020185910013,68,0266
000265,00020185910013,62,0266
000341,00020185910013,74,0266
000883,00020185910013,81,0266
001443,00020185910013,80,0266
000274,00020185910013,81,0266
001019,00020185910013,75,0266
001372,00020185910013,71,0266
001054,00020185910013,79,0266
000752,00020185910013,74,0266
000246,00020185910013,81,0266
001416,00020185910013,92,0266
000435,00020185910013,77,0266
000014,00020185910013,76,0266
001103,00020185910013,81,0266
001275,00020185910013,79,0266
000313,00020185910013,84,0266
000509,00020185910013,79,0266
000908,00020185910013,86,0266
000234,00020185910013,79,0266
001239,00020185910013,75,0266
000872,00020185910013,73,0266
000482,00020185910013,72,0266
000940,00020185910013,69,0266
001361,00020185910013,74,0266
000560,00020185910013,71,0266
000100,00020185910013,82,0266
000244,00020185910013,75,0266
001076,00020185910013,68,0266
000603,00020185910013,87,0266
000661,00020185910013,71,0266
001428,00020185910013,79,0266
000667,00020185910013,79,0266
000205,00020185910013,70,0266
001409,00020185910013,68,0266
001136,00020185910013,73,0266
000942,00020185910013,88,0266
001306,00020185910013,76,0266
001020,00020185910013,89,0266
001072,00020185910013,70,0266
000626,00020185910013,76,0266
000004,00020185910013,76,0266
000072,00020185910013,73,0266
000489,00020185910013,78,0266
001259,00020185910013,77,0266
001366,00020185910013,76,0266
000217,00020185910013,73,0266
000636,00020185910013,76,0266
000429,00020185910013,81,0266
001016,00020185910013,71,0266
000839,00020185910013,84,0266
000817,00020185910013,69,0266
001304,00020185910013,69,0266
000596,00020185910013,66,0266
000002,00020185910013,73,0266
000988,00020185910013,69,0266
001035,00020185910013,70,0266
000194,00020185910013,84,0266
000167,00020185910013,84,0266
000461,00020185910013,82,0266
000183,00020185910013,77,0266
000725,00020185910013,88,0266
000764,00020185910013,82,0266
000831,00020185910013,74,0266
000481,00020185910013,74,0266
001208,00020185910013,77,0266
001240,00020185910013,73,0266
001362,00020185910013,82,0266
001028,00020185910013,77,0266
001152,00020185910013,78,0266
001105,00020185910013,76,0266
000146,00020185910013,84,0266
000643,00020185910013,80,0266
000122,00020185910013,84,0266
000463,00020185910013,73,0266
001228,00020185910013,82,0266
000298,00020185910013,75,0266
000610,00020185910013,78,0266
001311,00020185910013,76,0266
001408,00020185910013,68,0266
000325,00020185910013,85,0266
000852,00020185910013,69,0266
000683,00020185910013,79,0266
000934,00020185910013,88,0266
001161,00020185910013,88,0266
001420,00020185910013,92,0266
000651,00020185910013,71,0266
000573,00020185910013,84,0266
000740,00020185910013,78,0266
000538,00020185910013,87,0266
001353,00020185910013,76,0266
000555,00020185910013,69,0266
001370,00020185910013,75,0266
000137,00020185910013,70,0266
001121,00020185910013,75,0266
001339,00020185910013,82,0266
000980,00020185910013,78,0266
000486,00020185910013,65,0266
000177,00020185910013,76,0266
000539,00020185910013,78,0266
000065,00020185910013,78,0266
000822,00020185910013,78,0266
000170,00020185910013,75,0266
001182,00020185910013,89,0266
000950,00020185910013,84,0266
000893,00020185910013,82,0266
000881,00020185910013,87,0266
000287,00020185910013,80,0266
000721,00020185910013,71,0266
000885,00020185910013,77,0266
000501,00020185910013,77,0266
001151,00020185910013,75,0266
000221,00020185910013,71,0266
001423,00020185910013,82,0266
000672,00020185910013,79,0266
000928,00020185910013,61,0266
000295,00020185910013,87,0266
001312,00020185910013,80,0266
000241,00020185910013,76,0266
000969,00020185910013,81,0266
000235,00020185910013,84,0266
000428,00020185910013,77,0266
001159,00020185910013,63,0266
000936,00020185910013,80,0266
001129,00020185910013,80,0266
000080,00020185910013,81,0266
001318,00020185910013,81,0266
000427,00020185910013,67,0266
000558,00020185910013,74,0266
000456,00020185910013,73,0266
000224,00020185910013,79,0266
000960,00020185910013,75,0266
001260,00020185910013,77,0266
000871,00020185910013,61,0266
000075,00020185910013,78,0266
001044,00020185910013,77,0266
000608,00020185910013,62,0266
001163,00020185910013,61,0266
001110,00020185910013,76,0266
000232,00020185910013,87,0266
000366,00020185910013,93,0266
000508,00020185910013,81,0266
001141,00020185910013,70,0266
000900,00020185910013,71,0266
000035,00020185910013,73,0266
001328,00020185910013,72,0266
000396,00020185910013,77,0266
001113,00020185910013,72,0266
000812,00020185910013,87,0266
001193,00020185910013,85,0266
001218,00020185910013,74,0266
000507,00020185910013,88,0266
000925,00020185910013,76,0266
001007,00020185910013,79,0266
001414,00020185910013,74,0266
000858,00020185910013,71,0266
001081,00020185910013,71,0266
000371,00020185910013,85,0266
000441,00020185910013,70,0266
001168,00020185910013,67,0266
000091,00020185910013,72,0266
000694,00020185910013,82,0266
001069,00020185910013,77,0266
000846,00020185910013,68,0266
000611,00020185910013,66,0266
000092,00020185910013,78,0266
000165,00020185910013,73,0266
000208,00020185910013,80,0266
000084,00020185910013,66,0266
000951,00020185910013,77,0266
000581,00020185910013,78,0266
000138,00020185910013,92,0266
001135,00020185910013,69,0266
000379,00020185910013,85,0266
000916,00020185910013,87,0266
000303,00020185910013,76,0266
000405,00020185910013,87,0266
001325,00020185910013,73,0266
000344,00020185910013,91,0266
001284,00020185910013,67,0266
000364,00020185910013,82,0266
001406,00020185910013,76,0266
001319,00020185910013,93,0266
000495,00020185910013,61,0266
000424,00020185910013,77,0266
000423,00020185910013,76,0266
000160,00020185910013,79,0266
000286,00020185910013,89,0266
000502,00020185910013,85,0266
000395,00020185910013,79,0266
000040,00020185910013,91,0266
001256,00020185910013,87,0266
000658,00020185910013,71,0266
000254,00020185910013,78,0266
001132,00020185910013,81,0266
000127,00020185910013,69,0266
000330,00020185910013,83,0266
001068,00020185910013,73,0266
001085,00020185910013,83,0266
000542,00020185910013,73,0266
001178,00020185910013,82,0266
000590,00020185910013,77,0266
000762,00020185910013,86,0266
000159,00020185910013,78,0266
000038,00020185910013,78,0266
000584,00020185910013,87,0266
001155,00020185910013,74,0266
000319,00020185910013,94,0266
001138,00020185910013,86,0266
000882,00020185910013,72,0266
000620,00020185910013,76,0266
001398,00020185910013,78,0266
000550,00020185910013,74,0266
000860,00020185910013,78,0266
001342,00020185910013,86,0266
000546,00020185910013,71,0266
000417,00020185910013,74,0266
001381,00020185910013,86,0266
000418,00020185910013,88,0266
000044,00020185910013,81,0266
000163,00020185910013,83,0266
000714,00020185910013,87,0266
000196,00020185910013,77,0266
001365,00020185910013,70,0266
000706,00020185910013,77,0266
001097,00020185910013,80,0266
000033,00020185910013,72,0266
000576,00020185910013,72,0266
000333,00020185910013,77,0266
000732,00020185910013,76,0266
001037,00020185910013,71,0266
001261,00020185910013,81,0266
000821,00020185910013,83,0266
001445,00020185910013,71,0266
000305,00020185910013,76,0266
000485,00020185910013,74,0266
000977,00020185910013,80,0266
001201,00020185910013,82,0266
000716,00020185910013,81,0266
001231,00020185910013,79,0266
000321,00020185910013,79,0266
000625,00020185910013,80,0266
000387,00020185910013,82,0266
001330,00020185910013,71,0266
000492,00020185910013,71,0266
000199,00020185910013,80,0266
000649,00020185910013,76,0266
001207,00020185910013,76,0266
000028,00020185910013,71,0266
000458,00020185910013,79,0266
000534,00020185910013,73,0266
001064,00020185910013,75,0266
000181,00020185910013,67,0266
000294,00020185910013,76,0266
000399,00020185910013,62,0266
000652,00020185910013,73,0266
001307,00020185910013,86,0266
000551,00020185910013,81,0266
001171,00020185910013,80,0266
000285,00020185910013,75,0266
001034,00020185910013,68,0266
001080,00020185910013,76,0266
000085,00020185910013,76,0266
000624,00020185910013,74,0266
000690,00020185910013,80,0266
000878,00020185910013,74,0266
000043,00020185910013,91,0266
001379,00020185910013,85,0266
000961,00020185910013,67,0266
001150,00020185910013,60,0266
000791,00020185910013,73,0266
001137,00020185910013,83,0266
000601,00020185910013,81,0266
000105,00020185910013,92,0266
000188,00020185910013,76,0266
000835,00020185910013,93,0266
000176,00020185910013,72,0266
001257,00020185910013,81,0266
000347,00020185910013,74,0266
000288,00020185910013,88,0266
000705,00020185910013,85,0266
001190,00020185910013,76,0266
001126,00020185910013,67,0266
000214,00020185910013,77,0266
000729,00020185910013,74,0266
000823,00020185910013,75,0266
000409,00020185910013,74,0266
001106,00020185910013,76,0266
000886,00020185910013,71,0266
000685,00020185910013,79,0266
000663,00020185910013,83,0266
000598,00020185910013,79,0266
000124,00020185910013,78,0266
000117,00020185910013,86,0266
000767,00020185910013,61,0266
001422,00020185910013,86,0266
000795,00020185910013,80,0266
001074,00020185910013,86,0266
000467,00020185910013,77,0266
000179,00020185910013,81,0266
000430,00020185910013,72,0266
001426,00020185910013,88,0266
001355,00020185910013,83,0266
000644,00020185910013,70,0266
000790,00020185910013,70,0266
000896,00020185910013,75,0266
001167,00020185910013,89,0266
000086,00020185910013,79,0266
000972,00020185910013,80,0266
000031,00020185910013,71,0266
001055,00020185910013,75,0266
000531,00020185910013,75,0266
001237,00020185910013,79,0266
000776,00020185910013,89,0266
001386,00020185910013,69,0266
001373,00020185910013,82,0266
